"","SampleID","Group","Time","Status","AnimalID","GeneSymbol","onART.DNA.GMMC","week24.DNA.GMMC","onART.DNA.LN","Week24.DNA.LN","d10.p.t.i","d14.p.t.i","d21.p.t.i","d28.p.t.i","d42.p.t.i","d56.p.t.i","d84.p.t.i","d114.p.t.i","SetVL"
"X20171213_6503.wk.2PBMC_PTL5036_S1","X20171213_6503.wk.2PBMC_PTL5036_S1","Group6h","baseline","NoRebound","M6503","X20171213_6503.wk.2PBMC_PTL5036_S1",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6504.wk.2PBMC_PTL5036_S2","X20171213_6504.wk.2PBMC_PTL5036_S2","Group6h","baseline","NoRebound","M6504","X20171213_6504.wk.2PBMC_PTL5036_S2",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6505.wk.2PBMC_PTL5036_S3","X20171213_6505.wk.2PBMC_PTL5036_S3","Group6h","baseline","NoRebound","M6505","X20171213_6505.wk.2PBMC_PTL5036_S3",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6506.wk.2PBMC_PTL5036_S4","X20171213_6506.wk.2PBMC_PTL5036_S4","Group6h","baseline","NoRebound","M6506","X20171213_6506.wk.2PBMC_PTL5036_S4",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6507.wk.2PBMC_PTL5036_S5","X20171213_6507.wk.2PBMC_PTL5036_S5","Group6h","baseline","NoRebound","M6507","X20171213_6507.wk.2PBMC_PTL5036_S5",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6508.wk.2PBMC_PTL5036_S6","X20171213_6508.wk.2PBMC_PTL5036_S6","Group1d","baseline","NoRebound","M6508","X20171213_6508.wk.2PBMC_PTL5036_S6",3,3,8,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6509.wk.2PBMC_PTL5036_S7","X20171213_6509.wk.2PBMC_PTL5036_S7","Group1d","baseline","NoRebound","M6509","X20171213_6509.wk.2PBMC_PTL5036_S7",7,3,32,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6510.wk.2PBMC_PTL5036_S8","X20171213_6510.wk.2PBMC_PTL5036_S8","Group1d","baseline","NoRebound","M6510","X20171213_6510.wk.2PBMC_PTL5036_S8",8,3,15,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6511.wk.2PBMC_PTL5036_S9","X20171213_6511.wk.2PBMC_PTL5036_S9","Group1d","baseline","Rebound","M6511","X20171213_6511.wk.2PBMC_PTL5036_S9",195,3,46,14,50,50,5860000,4040000,554000,274000,16700,3970,4.471873287
"X20171213_6512.wk.2PBMC_PTL5036_S10","X20171213_6512.wk.2PBMC_PTL5036_S10","Group1d","baseline","NoRebound","M6512","X20171213_6512.wk.2PBMC_PTL5036_S10",3,3,97,3,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6513.wk.2PBMC_PTL5036_S11","X20171213_6513.wk.2PBMC_PTL5036_S11","Group2d","baseline","Rebound","M6513","X20171213_6513.wk.2PBMC_PTL5036_S11",217,3,42,3,662,250000,192000,75900,24100,18200,21300,84000,4.53463604
"X20171213_6514.wk.2PBMC_PTL5036_S12","X20171213_6514.wk.2PBMC_PTL5036_S12","Group2d","baseline","Rebound","M6514","X20171213_6514.wk.2PBMC_PTL5036_S12",690,3,145,3,50,15600,983000,139000,12700,5510,7660,12800,4.108007123
"X20171213_6515.wk.2PBMC_PTL5036_S13","X20171213_6515.wk.2PBMC_PTL5036_S13","Group2d","baseline","NoRebound","M6515","X20171213_6515.wk.2PBMC_PTL5036_S13",417,45,46,8,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6516.wk.2PBMC_PTL5036_S14","X20171213_6516.wk.2PBMC_PTL5036_S14","Group2d","baseline","NoRebound","M6516","X20171213_6516.wk.2PBMC_PTL5036_S14",497,3,230,53,50,50,50,50,50,50,50,50,1.698970004
"X20171213_6517.wk.2PBMC_PTL5036_S15","X20171213_6517.wk.2PBMC_PTL5036_S15","Group2d","baseline","Rebound","M6517","X20171213_6517.wk.2PBMC_PTL5036_S15",738,3,141,66,50,50,50,19700,16800,1480,50,1290,2.699563369
"X20171214_6503.d0.RNALater_PTL5036.2of4_S6","X20171214_6503.d0.RNALater_PTL5036.2of4_S6","Group6h","day0","NoRebound","M6503","X20171214_6503.d0.RNALater_PTL5036.2of4_S6",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6504.d0.RNALater_PTL5036.2of4_S7","X20171214_6504.d0.RNALater_PTL5036.2of4_S7","Group6h","day0","NoRebound","M6504","X20171214_6504.d0.RNALater_PTL5036.2of4_S7",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6505.d0.RNALater_PTL5036.2of4_S8","X20171214_6505.d0.RNALater_PTL5036.2of4_S8","Group6h","day0","NoRebound","M6505","X20171214_6505.d0.RNALater_PTL5036.2of4_S8",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6506.d0.RNALater_PTL5036.2of4_S9","X20171214_6506.d0.RNALater_PTL5036.2of4_S9","Group6h","day0","NoRebound","M6506","X20171214_6506.d0.RNALater_PTL5036.2of4_S9",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6507.d0.RNALater_PTL5036.2of4_S10","X20171214_6507.d0.RNALater_PTL5036.2of4_S10","Group6h","day0","NoRebound","M6507","X20171214_6507.d0.RNALater_PTL5036.2of4_S10",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6508.d1.RNALater_PTL5036.2of4_S11","X20171214_6508.d1.RNALater_PTL5036.2of4_S11","Group1d","day1","NoRebound","M6508","X20171214_6508.d1.RNALater_PTL5036.2of4_S11",3,3,8,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6509.d1.RNALater_PTL5036.2of4_S12","X20171214_6509.d1.RNALater_PTL5036.2of4_S12","Group1d","day1","NoRebound","M6509","X20171214_6509.d1.RNALater_PTL5036.2of4_S12",7,3,32,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6510.d1.RNALater_PTL5036.2of4_S13","X20171214_6510.d1.RNALater_PTL5036.2of4_S13","Group1d","day1","NoRebound","M6510","X20171214_6510.d1.RNALater_PTL5036.2of4_S13",8,3,15,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6511.d1.RNALater_PTL5036.2of4_S14","X20171214_6511.d1.RNALater_PTL5036.2of4_S14","Group1d","day1","Rebound","M6511","X20171214_6511.d1.RNALater_PTL5036.2of4_S14",195,3,46,14,50,50,5860000,4040000,554000,274000,16700,3970,4.471873287
"X20171214_6512.d1.RNALater_PTL5036.2of4_S15","X20171214_6512.d1.RNALater_PTL5036.2of4_S15","Group1d","day1","NoRebound","M6512","X20171214_6512.d1.RNALater_PTL5036.2of4_S15",3,3,97,3,50,50,50,50,50,50,50,50,1.698970004
"X20171214_6518.wk.2_PBMC_PTL5036.2of4_S1","X20171214_6518.wk.2_PBMC_PTL5036.2of4_S1","Group3d","baseline","Rebound","M6518","X20171214_6518.wk.2_PBMC_PTL5036.2of4_S1",2766,133,1489,3,50,50,2330000,490000,305000,70800,30800,2410,4.207549108
"X20171214_6519.wk.2_PBMC_PTL5036.2of4_S2","X20171214_6519.wk.2_PBMC_PTL5036.2of4_S2","Group3d","baseline","Rebound","M6519","X20171214_6519.wk.2_PBMC_PTL5036.2of4_S2",2637,1344,1604,40,50,1900,5690,14500,43700,12400,8190,54100,3.78432352
"X20171214_6520.wk.2_PBMC_PTL5036.2of4_S3","X20171214_6520.wk.2_PBMC_PTL5036.2of4_S3","Group3d","baseline","Rebound","M6520","X20171214_6520.wk.2_PBMC_PTL5036.2of4_S3",3325,995,563,68,50,7980,1920000,65400,156000,92300,76600,19100,4.502930039
"X20171214_6521.wk.2_PBMC_PTL5036.2of4_S4","X20171214_6521.wk.2_PBMC_PTL5036.2of4_S4","Group3d","baseline","Rebound","M6521","X20171214_6521.wk.2_PBMC_PTL5036.2of4_S4",2452,128,123,72,50,762000,15000000,2410000,1430000,1900000,2030000,3290000,5.799726856
"X20171214_6522.wk.2_PBMC_PTL5036.2of4_S5","X20171214_6522.wk.2_PBMC_PTL5036.2of4_S5","Group3d","baseline","Rebound","M6522","X20171214_6522.wk.2_PBMC_PTL5036.2of4_S5",1252,7,162,114,50,50,201000,461000,144000,16500,17900,4310,3.953501716
"X20171215_6503.wk24.RNALater_PTL5036.3of4_S11","X20171215_6503.wk24.RNALater_PTL5036.3of4_S11","Group6h","Week24","NoRebound","M6503","X20171215_6503.wk24.RNALater_PTL5036.3of4_S11",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6504.wk24.RNALater_PTL5036.3of4_S12","X20171215_6504.wk24.RNALater_PTL5036.3of4_S12","Group6h","Week24","NoRebound","M6504","X20171215_6504.wk24.RNALater_PTL5036.3of4_S12",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6505.wk24.RNALater_PTL5036.3of4_S13","X20171215_6505.wk24.RNALater_PTL5036.3of4_S13","Group6h","Week24","NoRebound","M6505","X20171215_6505.wk24.RNALater_PTL5036.3of4_S13",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6506.wk24.RNALater_PTL5036.3of4_S14","X20171215_6506.wk24.RNALater_PTL5036.3of4_S14","Group6h","Week24","NoRebound","M6506","X20171215_6506.wk24.RNALater_PTL5036.3of4_S14",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6507.wk24.RNALater_PTL5036.3of4_S15","X20171215_6507.wk24.RNALater_PTL5036.3of4_S15","Group6h","Week24","NoRebound","M6507","X20171215_6507.wk24.RNALater_PTL5036.3of4_S15",3,3,3,3,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6513.d2.RNALater_PTL5036.3of4_S1","X20171215_6513.d2.RNALater_PTL5036.3of4_S1","Group2d","Day2","Rebound","M6513","X20171215_6513.d2.RNALater_PTL5036.3of4_S1",217,3,42,3,662,250000,192000,75900,24100,18200,21300,84000,4.53463604
"X20171215_6514.d2.RNALater_PTL5036.3of4_S2","X20171215_6514.d2.RNALater_PTL5036.3of4_S2","Group2d","Day2","Rebound","M6514","X20171215_6514.d2.RNALater_PTL5036.3of4_S2",690,3,145,3,50,15600,983000,139000,12700,5510,7660,12800,4.108007123
"X20171215_6515.d2.RNALater_PTL5036.3of4_S3","X20171215_6515.d2.RNALater_PTL5036.3of4_S3","Group2d","Day2","NoRebound","M6515","X20171215_6515.d2.RNALater_PTL5036.3of4_S3",417,45,46,8,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6516.d2.RNALater_PTL5036.3of4_S4","X20171215_6516.d2.RNALater_PTL5036.3of4_S4","Group2d","Day2","NoRebound","M6516","X20171215_6516.d2.RNALater_PTL5036.3of4_S4",497,3,230,53,50,50,50,50,50,50,50,50,1.698970004
"X20171215_6517.d2.RNALater_PTL5036.3of4_S5","X20171215_6517.d2.RNALater_PTL5036.3of4_S5","Group2d","Day2","Rebound","M6517","X20171215_6517.d2.RNALater_PTL5036.3of4_S5",738,3,141,66,50,50,50,19700,16800,1480,50,1290,2.699563369
