name	date
SIM_BWA_001_2006.42	2006.42
SIM_BWA_002_2005.64	2005.64
SIM_ZAF_003_2012.46	2012.46
SIM_BWA_004_2013.49	2013.49
SIM_BWA_005_2013.85	2013.85
SIM_ZMB_006_2011.60	2011.60
SIM_ZAF_007_2020.31	2020.31
SIM_ZAF_008_2018.76	2018.76
SIM_ZAF_009_2017.83	2017.83
SIM_ZAF_010_2016.08	2016.08
SIM_ZAF_011_2016.97	2016.97
SIM_ZAF_012_2013.66	2013.66
SIM_BWA_013_2016.06	2016.06
SIM_ZMB_014_2022.97	2022.97
SIM_ZMB_015_2024.83	2024.83
SIM_ZMB_016_2025.00	2025.00
SIM_ZMB_017_2020.39	2020.39
SIM_ZAF_018_2018.06	2018.06
SIM_ZAF_019_2013.80	2013.80
SIM_BWA_020_2010.15	2010.15
SIM_BWA_021_2010.18	2010.18
SIM_BWA_022_2012.21	2012.21
SIM_BWA_023_2013.00	2013.00
SIM_ZAF_024_2006.16	2006.16
SIM_ZAF_025_2011.69	2011.69
SIM_ZAF_026_2015.08	2015.08
SIM_ZAF_027_2017.34	2017.34
SIM_ZAF_028_2017.13	2017.13
SIM_ZAF_029_2019.19	2019.19
SIM_ZMB_030_2021.92	2021.92
SIM_ZMB_031_2022.23	2022.23
SIM_ZMB_032_2021.78	2021.78
SIM_ZMB_033_2023.02	2023.02
SIM_BWA_034_2025.00	2025.00
SIM_BWA_035_2019.68	2019.68
SIM_ZMB_036_2023.77	2023.77
SIM_ZAF_037_2018.14	2018.14
SIM_ZAF_038_2020.08	2020.08
SIM_ZMB_039_2011.06	2011.06
SIM_ZMB_040_2007.69	2007.69
SIM_ZMB_041_2006.40	2006.40
SIM_BWA_042_2006.69	2006.69
SIM_BWA_043_2009.21	2009.21
SIM_ZAF_044_2010.91	2010.91
SIM_ZAF_045_2011.75	2011.75
SIM_ZAF_046_2010.14	2010.14
SIM_ZAF_047_2015.98	2015.98
SIM_ZAF_048_2009.99	2009.99
SIM_ZMB_049_2007.36	2007.36
SIM_ZMB_050_2007.37	2007.37
SIM_BWA_051_2007.15	2007.15
SIM_BWA_052_2007.97	2007.97
SIM_ZAF_053_2020.84	2020.84
SIM_ZAF_054_2021.47	2021.47
SIM_ZAF_055_2015.21	2015.21
SIM_BWA_056_2025.00	2025.00
SIM_ZMB_057_2022.51	2022.51
SIM_ZMB_058_2021.80	2021.80
SIM_ZAF_059_2013.60	2013.60
SIM_ZAF_060_2005.04	2005.04
