"sample_id","country","country_code","date","year","cluster"
"SIM_BWA_001_2006.42","Botswana","BWA",2006.42,2006,"unclustered"
"SIM_BWA_002_2005.64","Botswana","BWA",2005.64,2005,"unclustered"
"SIM_ZAF_003_2012.46","South Africa","ZAF",2012.46,2012,"unclustered"
"SIM_BWA_004_2013.49","Botswana","BWA",2013.49,2013,"Cluster_A"
"SIM_BWA_005_2013.85","Botswana","BWA",2013.85,2013,"Cluster_A"
"SIM_ZMB_006_2011.60","Zambia","ZMB",2011.6,2011,"unclustered"
"SIM_ZAF_007_2020.31","South Africa","ZAF",2020.31,2020,"Cluster_B"
"SIM_ZAF_008_2018.76","South Africa","ZAF",2018.76,2018,"Cluster_B"
"SIM_ZAF_009_2017.83","South Africa","ZAF",2017.83,2017,"Cluster_B"
"SIM_ZAF_010_2016.08","South Africa","ZAF",2016.08,2016,"Cluster_B"
"SIM_ZAF_011_2016.97","South Africa","ZAF",2016.97,2016,"Cluster_B"
"SIM_ZAF_012_2013.66","South Africa","ZAF",2013.66,2013,"Cluster_B"
"SIM_BWA_013_2016.06","Botswana","BWA",2016.06,2016,"unclustered"
"SIM_ZMB_014_2022.97","Zambia","ZMB",2022.97,2022,"unclustered"
"SIM_ZMB_015_2024.83","Zambia","ZMB",2024.83,2024,"Cluster_C"
"SIM_ZMB_016_2025.00","Zambia","ZMB",2025,2025,"Cluster_C"
"SIM_ZMB_017_2020.39","Zambia","ZMB",2020.39,2020,"Cluster_C"
"SIM_ZAF_018_2018.06","South Africa","ZAF",2018.06,2018,"unclustered"
"SIM_ZAF_019_2013.80","South Africa","ZAF",2013.8,2013,"unclustered"
"SIM_BWA_020_2010.15","Botswana","BWA",2010.15,2010,"Cluster_D"
"SIM_BWA_021_2010.18","Botswana","BWA",2010.18,2010,"Cluster_D"
"SIM_BWA_022_2012.21","Botswana","BWA",2012.21,2012,"Cluster_D"
"SIM_BWA_023_2013.00","Botswana","BWA",2013,2013,"Cluster_D"
"SIM_ZAF_024_2006.16","South Africa","ZAF",2006.16,2006,"unclustered"
"SIM_ZAF_025_2011.69","South Africa","ZAF",2011.69,2011,"Cluster_E"
"SIM_ZAF_026_2015.08","South Africa","ZAF",2015.08,2015,"Cluster_E"
"SIM_ZAF_027_2017.34","South Africa","ZAF",2017.34,2017,"Cluster_E"
"SIM_ZAF_028_2017.13","South Africa","ZAF",2017.13,2017,"Cluster_E"
"SIM_ZAF_029_2019.19","South Africa","ZAF",2019.19,2019,"unclustered"
"SIM_ZMB_030_2021.92","Zambia","ZMB",2021.92,2021,"Cluster_F"
"SIM_ZMB_031_2022.23","Zambia","ZMB",2022.23,2022,"Cluster_F"
"SIM_ZMB_032_2021.78","Zambia","ZMB",2021.78,2021,"Cluster_F"
"SIM_ZMB_033_2023.02","Zambia","ZMB",2023.02,2023,"Cluster_F"
"SIM_BWA_034_2025.00","Botswana","BWA",2025,2025,"Cluster_G"
"SIM_BWA_035_2019.68","Botswana","BWA",2019.68,2019,"Cluster_G"
"SIM_ZMB_036_2023.77","Zambia","ZMB",2023.77,2023,"unclustered"
"SIM_ZAF_037_2018.14","South Africa","ZAF",2018.14,2018,"Cluster_H"
"SIM_ZAF_038_2020.08","South Africa","ZAF",2020.08,2020,"Cluster_H"
"SIM_ZMB_039_2011.06","Zambia","ZMB",2011.06,2011,"unclustered"
"SIM_ZMB_040_2007.69","Zambia","ZMB",2007.69,2007,"Cluster_I"
"SIM_ZMB_041_2006.40","Zambia","ZMB",2006.4,2006,"Cluster_I"
"SIM_BWA_042_2006.69","Botswana","BWA",2006.69,2006,"Cluster_J"
"SIM_BWA_043_2009.21","Botswana","BWA",2009.21,2009,"Cluster_J"
"SIM_ZAF_044_2010.91","South Africa","ZAF",2010.91,2010,"unclustered"
"SIM_ZAF_045_2011.75","South Africa","ZAF",2011.75,2011,"unclustered"
"SIM_ZAF_046_2010.14","South Africa","ZAF",2010.14,2010,"Cluster_K"
"SIM_ZAF_047_2015.98","South Africa","ZAF",2015.98,2015,"Cluster_K"
"SIM_ZAF_048_2009.99","South Africa","ZAF",2009.99,2009,"unclustered"
"SIM_ZMB_049_2007.36","Zambia","ZMB",2007.36,2007,"Cluster_L"
"SIM_ZMB_050_2007.37","Zambia","ZMB",2007.37,2007,"Cluster_L"
"SIM_BWA_051_2007.15","Botswana","BWA",2007.15,2007,"Cluster_M"
"SIM_BWA_052_2007.97","Botswana","BWA",2007.97,2007,"Cluster_M"
"SIM_ZAF_053_2020.84","South Africa","ZAF",2020.84,2020,"Cluster_N"
"SIM_ZAF_054_2021.47","South Africa","ZAF",2021.47,2021,"Cluster_N"
"SIM_ZAF_055_2015.21","South Africa","ZAF",2015.21,2015,"Cluster_N"
"SIM_BWA_056_2025.00","Botswana","BWA",2025,2025,"unclustered"
"SIM_ZMB_057_2022.51","Zambia","ZMB",2022.51,2022,"Cluster_O"
"SIM_ZMB_058_2021.80","Zambia","ZMB",2021.8,2021,"Cluster_O"
"SIM_ZAF_059_2013.60","South Africa","ZAF",2013.6,2013,"unclustered"
"SIM_ZAF_060_2005.04","South Africa","ZAF",2005.04,2005,"unclustered"
