"tip","length"
"A-Indiana-09-2009|2009.307",0.0009170499
"A-California-06-2009|2009.290",0.0008426247
"A-Shandong-1-2009|2009.356",0.0008406011
"A-Mexico-47N-2009|2009.315",0.0007670012
"A-Hong-Kong-01-2009|2009.329",0.0007643977
"A-Sichuan-1-2009|2009.356",0.0007641666
"A-Texas-15-2009|2009.288",0.0007632284
"A-Nonthaburi-102-2009|2009.348",0.0007632284
"A-Shanghai-1-2009|2009.392",0.0006879574
"A-Guangdong-1-2009|2009.378",0.0006119696
"A-Paris-2590-2009|2009.329",0.0006115576
"A-Beijing-3-2009|2009.384",0.0006105197
"A-Netherlands-602-2009|2009.326",0.0005382141
"A-Texas-09-2009|2009.315",0.0005341772
"A-Norway-1168-2009|2009.348",0.0004606692
"A-Michigan-02-2009|2009.318",0.0004591403
"A-Zhejiang-1-2009|2009.392",0.0004578425
"A-Canada-NS-RV1535-2009|2009.312",0.0003818916
"A-Mexico-4486-2009|2009.285",0.0003815157
"A-Moscow-01-2009|2009.386",0.000324172
"A-Korea-01-2009|2009.334",0.0003056032
"A-Mexico-4604-2009|2009.299",0.0003051968
"A-Fujian-1-2009|2009.389",0.0003051968
"A-New-York-3190-2009|2009.326",0.0002288858
"A-Guangdong-2-2009|2009.403",0.0002288858
"A-Narita-1-2009|2009.351",0.0002288858
"A-Paris-2580-2009|2009.329",0.0001906786
"A-Mexico-InDRE4487-2009|2009.285",0.0001525827
"A-Canada-ON-RV1527-2009|2009.312",0.0001525827
"A-New-York-3193-2009|2009.323",0.0001525827
"A-New-York-3172-2009|2009.321",0.0001525827
"A-England-207-2009|2009.329",0.0001525827
"A-New-York-3187-2009|2009.332",0.0001525827
"A-Hyogo-1-2009|2009.375",0.0001525827
"A-Osaka-1-2009|2009.373",0.0001525827
"A-Beijing-01-2009|2009.370",0.0001525827
"A-New-York-3099-2009|2009.326",0.0001525827
"A-New-York-23-2009|2009.312",7.62874e-05
"A-New-York-3191-2009|2009.315",7.62874e-05
"A-New-York-3214-2009|2009.315",7.62874e-05
"A-New-York-3261-2009|2009.326",7.62874e-05
"A-New-York-10-2009|2009.315",7.62874e-05
"A-New-York-3168-2009|2009.318",7.62874e-05
"A-New-York-3232-2009|2009.329",7.62874e-05
"A-Osaka-C-1-2009|2009.373",7.62874e-05
"A-New-York-1682-2009|2009.321",7.62874e-05
"A-Texas-04-2009|2009.285",1e-06
"A-New-York-3173-2009|2009.323",1e-06
"A-California-14-2009|2009.315",1e-06
"A-New-York-3260-2009|2009.321",1e-06
