"tip","length"
"SIM_ZAF_060_2005.04",0.0176437339
"SIM_ZAF_003_2012.46",0.0170645438
"SIM_ZAF_027_2017.34",0.0149277135
"SIM_BWA_013_2016.06",0.0135275357
"SIM_BWA_034_2025.00",0.0127838292
"SIM_ZMB_036_2023.77",0.0121485712
"SIM_ZAF_007_2020.31",0.0121407967
"SIM_BWA_056_2025.00",0.0108238555
"SIM_ZAF_047_2015.98",0.0107766956
"SIM_ZAF_019_2013.80",0.0100741361
"SIM_ZMB_050_2007.37",0.0094487969
"SIM_BWA_043_2009.21",0.0094240151
"SIM_ZAF_011_2016.97",0.0094228615
"SIM_ZAF_028_2017.13",0.0087950825
"SIM_ZMB_015_2024.83",0.0087691397
"SIM_BWA_005_2013.85",0.0081051484
"SIM_BWA_001_2006.42",0.0081017113
"SIM_ZAF_045_2011.75",0.0080633123
"SIM_BWA_002_2005.64",0.0075804505
"SIM_ZMB_049_2007.36",0.0074248684
"SIM_ZAF_018_2018.06",0.0067324714
"SIM_ZAF_038_2020.08",0.0060509558
"SIM_ZMB_057_2022.51",0.0060424878
"SIM_ZMB_017_2020.39",0.0054650625
"SIM_ZMB_016_2025.00",0.0053946193
"SIM_ZAF_008_2018.76",0.0053612808
"SIM_ZMB_040_2007.69",0.0053612389
"SIM_BWA_052_2007.97",0.0046882708
"SIM_ZAF_048_2009.99",0.0046869521
"SIM_BWA_004_2013.49",0.0046756941
"SIM_ZAF_044_2010.91",0.0040164953
"SIM_ZAF_037_2018.14",0.0040123872
"SIM_ZAF_055_2015.21",0.0040095205
"SIM_ZAF_046_2010.14",0.0033487451
"SIM_BWA_023_2013.00",0.0033479597
"SIM_ZAF_053_2020.84",0.0033463465
"SIM_ZMB_058_2021.80",0.00334477
"SIM_ZMB_033_2023.02",0.0033409094
"SIM_ZAF_009_2017.83",0.0026802374
"SIM_ZAF_054_2021.47",0.0026783635
"SIM_BWA_022_2012.21",0.0026742229
"SIM_ZAF_010_2016.08",0.0026715124
"SIM_BWA_042_2006.69",0.0026682486
"SIM_BWA_051_2007.15",0.002007881
"SIM_ZMB_014_2022.97",0.0020059209
"SIM_ZAF_026_2015.08",0.0020053272
"SIM_ZAF_029_2019.19",0.0020027241
"SIM_ZMB_041_2006.40",0.0020027241
"SIM_ZMB_039_2011.06",0.0019306248
"SIM_ZAF_059_2013.60",0.001328887
"SIM_ZAF_025_2011.69",0.0013023441
"SIM_ZMB_031_2022.23",0.0006698929
"SIM_BWA_021_2010.18",0.000666969
"SIM_ZMB_030_2021.92",0.0006633421
"SIM_ZAF_024_2006.16",0.0006593736
"SIM_ZMB_006_2011.60",1e-06
"SIM_ZAF_012_2013.66",1e-06
"SIM_BWA_020_2010.15",1e-06
"SIM_BWA_035_2019.68",1e-06
"SIM_ZMB_032_2021.78",1e-06
