tip,sampling_date,root_to_tip_years
SIM_BWA_001_2006.42,2006.42,12.37076
SIM_BWA_002_2005.64,2005.64,11.59076
SIM_ZAF_003_2012.46,2012.46,18.41076
SIM_BWA_004_2013.49,2013.49,19.440759999999997
SIM_BWA_005_2013.85,2013.85,19.800759999999997
SIM_ZAF_025_2011.69,2011.69,17.64076
SIM_ZAF_026_2015.08,2015.08,21.030759999999997
SIM_ZAF_027_2017.34,2017.34,23.290759999999995
SIM_ZAF_028_2017.13,2017.13,23.080759999999998
SIM_ZMB_014_2022.97,2022.97,28.92076
SIM_BWA_013_2016.06,2016.06,22.01076
SIM_ZMB_006_2011.60,2011.6,17.550760000000004
SIM_ZAF_012_2013.66,2013.66,19.610760000000003
SIM_ZAF_011_2016.97,2016.97,22.92076
SIM_ZAF_007_2020.31,2020.31,26.26077
SIM_ZAF_010_2016.08,2016.08,22.03077
SIM_ZAF_008_2018.76,2018.76,24.71077
SIM_ZAF_009_2017.83,2017.83,23.78077
SIM_ZAF_024_2006.16,2006.16,12.11076
SIM_ZAF_019_2013.80,2013.8,19.75075
SIM_ZAF_018_2018.06,2018.06,24.01075
SIM_ZMB_017_2020.39,2020.39,26.340760000000003
SIM_ZMB_015_2024.83,2024.83,30.78076
SIM_ZMB_016_2025.00,2025,30.950760000000002
SIM_BWA_020_2010.15,2010.15,16.10076
SIM_BWA_021_2010.18,2010.18,16.130750000000003
SIM_BWA_022_2012.21,2012.21,18.160750000000004
SIM_BWA_023_2013.00,2013,18.950750000000003
SIM_BWA_042_2006.69,2006.69,12.64076
SIM_BWA_043_2009.21,2009.21,15.160760000000002
SIM_ZMB_040_2007.69,2007.69,13.64076
SIM_ZMB_041_2006.40,2006.4,12.350760000000001
SIM_ZMB_039_2011.06,2011.06,17.01076
SIM_ZAF_037_2018.14,2018.14,24.090770000000003
SIM_ZAF_038_2020.08,2020.08,26.030770000000004
SIM_ZAF_029_2019.19,2019.19,25.14076
SIM_ZMB_032_2021.78,2021.78,27.73076
SIM_ZMB_033_2023.02,2023.02,28.97076
SIM_ZMB_030_2021.92,2021.92,27.87076
SIM_ZMB_031_2022.23,2022.23,28.18076
SIM_ZMB_036_2023.77,2023.77,29.720760000000002
SIM_BWA_034_2025.00,2025,30.950760000000002
SIM_BWA_035_2019.68,2019.68,25.630760000000002
SIM_ZAF_060_2005.04,2005.04,10.99076
SIM_ZAF_048_2009.99,2009.99,15.94077
SIM_ZAF_044_2010.91,2010.91,16.86077
SIM_ZAF_046_2010.14,2010.14,16.09077
SIM_ZAF_045_2011.75,2011.75,17.70077
SIM_ZAF_047_2015.98,2015.98,21.93077
SIM_ZMB_049_2007.36,2007.36,13.31077
SIM_ZMB_050_2007.37,2007.37,13.32077
SIM_BWA_051_2007.15,2007.15,13.10076
SIM_BWA_052_2007.97,2007.97,13.920759999999998
SIM_ZAF_055_2015.21,2015.21,21.16077
SIM_ZAF_053_2020.84,2020.84,26.79077
SIM_ZAF_054_2021.47,2021.47,27.420769999999997
SIM_ZAF_059_2013.60,2013.6,19.550769999999996
SIM_BWA_056_2025.00,2025,30.95077
SIM_ZMB_057_2022.51,2022.51,28.460769999999997
SIM_ZMB_058_2021.80,2021.8,27.750769999999996
