cluster,tip,n,bootstrap,max_distance,single_group
Cluster_A,SIM_BWA_004_2013.49,2,100,0.0127808425,TRUE
Cluster_A,SIM_BWA_005_2013.85,2,100,0.0127808425,TRUE
Cluster_B,SIM_ZMB_015_2024.83,2,100,0.014163759,TRUE
Cluster_B,SIM_ZMB_016_2025.00,2,100,0.014163759,TRUE
Cluster_C,SIM_BWA_020_2010.15,4,100,0.0060221826,TRUE
Cluster_C,SIM_BWA_021_2010.18,4,100,0.0060221826,TRUE
Cluster_C,SIM_BWA_022_2012.21,4,100,0.0060221826,TRUE
Cluster_C,SIM_BWA_023_2013.00,4,100,0.0060221826,TRUE
Cluster_D,SIM_ZMB_030_2021.92,2,100,0.0013332349999999999,TRUE
Cluster_D,SIM_ZMB_031_2022.23,2,100,0.0013332349999999999,TRUE
Cluster_E,SIM_BWA_034_2025.00,2,99,0.012784829199999998,TRUE
Cluster_E,SIM_BWA_035_2019.68,2,99,0.012784829199999998,TRUE
Cluster_F,SIM_ZMB_032_2021.78,2,100,0.0033419094000000002,TRUE
Cluster_F,SIM_ZMB_033_2023.02,2,100,0.0033419094000000002,TRUE
Cluster_G,SIM_ZAF_037_2018.14,2,100,0.010063342999999999,TRUE
Cluster_G,SIM_ZAF_038_2020.08,2,100,0.010063342999999999,TRUE
Cluster_H,SIM_ZMB_040_2007.69,2,96,0.007363962999999999,TRUE
Cluster_H,SIM_ZMB_041_2006.40,2,96,0.007363962999999999,TRUE
Cluster_I,SIM_BWA_042_2006.69,2,99,0.012092263700000001,TRUE
Cluster_I,SIM_BWA_043_2009.21,2,99,0.012092263700000001,TRUE
Cluster_J,SIM_ZAF_044_2010.91,5,100,0.0188400079,TRUE
Cluster_J,SIM_ZAF_045_2011.75,5,100,0.0188400079,TRUE
Cluster_J,SIM_ZAF_047_2015.98,5,100,0.0188400079,TRUE
Cluster_J,SIM_ZAF_046_2010.14,5,100,0.0188400079,TRUE
Cluster_J,SIM_ZAF_048_2009.99,5,100,0.0188400079,TRUE
Cluster_K,SIM_BWA_051_2007.15,2,99,0.006696151799999999,TRUE
Cluster_K,SIM_BWA_052_2007.97,2,99,0.006696151799999999,TRUE
Cluster_L,SIM_ZAF_053_2020.84,3,100,0.0195852126,TRUE
Cluster_L,SIM_ZAF_054_2021.47,3,100,0.0195852126,TRUE
Cluster_L,SIM_ZAF_055_2015.21,3,100,0.0195852126,TRUE
Cluster_M,SIM_ZMB_057_2022.51,2,99,0.0093872578,TRUE
Cluster_M,SIM_ZMB_058_2021.80,2,99,0.0093872578,TRUE
