#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	2009-02-03	2009.092879	2008.675355	2009.207615
83.4/68	2009-02-11	2009.113088	2008.688564	2009.206531
A-Indiana-09-2009|2009.307	2009-04-23	2009.307000	2009.307000	2009.307000
A-Netherlands-602-2009|2009.326	2009-04-29	2009.326000	2009.326000	2009.326000
NODE_0000001	2009-02-19	2009.135720	2008.703497	2009.216017
A-California-06-2009|2009.290	2009-04-16	2009.290000	2009.290000	2009.290000
A-Mexico-47N-2009|2009.315	2009-04-25	2009.315000	2009.315000	2009.315000
95.2/98	2009-04-14	2009.284429	2009.183052	2009.319085
A-New-York-1682-2009|2009.321	2009-04-28	2009.321000	2009.321000	2009.321000
A-New-York-3099-2009|2009.326	2009-04-29	2009.326000	2009.326000	2009.326000
NODE_0000000	2009-02-26	2009.154644	2008.690499	2009.235371
A-Mexico-4486-2009|2009.285	2009-04-15	2009.285000	2009.285000	2009.285000
A-Hong-Kong-01-2009|2009.329	2009-05-01	2009.329000	2009.329000	2009.329000
75.7/77	2009-03-13	2009.197107	2008.736283	2009.251703
A-Canada-NS-RV1535-2009|2009.312	2009-04-24	2009.312000	2009.312000	2009.312000
A-Guangdong-1-2009|2009.378	2009-05-18	2009.378000	2009.378000	2009.378000
91.7/87	2009-02-17	2009.129288	2008.690978	2009.230059
A-Mexico-InDRE4487-2009|2009.285	2009-04-15	2009.285000	2009.285000	2009.285000
A-Texas-15-2009|2009.288	2009-04-16	2009.288000	2009.288000	2009.288000
99.6/100	2009-04-02	2009.250059	2009.194000	2009.285000
A-Texas-04-2009|2009.285	2009-04-15	2009.285000	2009.285000	2009.285000
A-Texas-09-2009|2009.315	2009-04-25	2009.315000	2009.315000	2009.315000
76/79	2009-02-27	2009.156850	2008.768160	2009.252873
A-Paris-2590-2009|2009.329	2009-05-01	2009.329000	2009.329000	2009.329000
76.3/73	2009-03-10	2009.188006	2009.095014	2009.270953
87.5/93	2009-04-16	2009.288776	2009.177963	2009.336881
A-Narita-1-2009|2009.351	2009-05-09	2009.351000	2009.351000	2009.351000
A-Beijing-01-2009|2009.370	2009-05-16	2009.370000	2009.370000	2009.370000
