#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	1994-01-18	1994.049239	1991.847835	1995.968208
NODE_0000000	2000-10-22	2000.807479	2000.097875	2002.157728
SIM_BWA_001_2006.42	2006-06-03	2006.420000	2006.420000	2006.420000
90.9/93	2002-02-17	2002.130849	2001.290409	2002.993639
SIM_BWA_002_2005.64	2005-08-22	2005.640000	2005.640000	2005.640000
99.5/100	2004-07-21	2004.552208	2003.658096	2005.066768
98.5/100	2006-06-06	2006.428330	2005.528783	2007.211164
SIM_ZAF_003_2012.46	2012-06-17	2012.460000	2012.460000	2012.460000
100/100	2011-04-12	2011.277697	2010.378011	2012.038063
SIM_BWA_004_2013.49	2013-06-28	2013.490000	2013.490000	2013.490000
SIM_BWA_005_2013.85	2013-11-07	2013.850000	2013.850000	2013.850000
43/68	2004-11-23	2004.893990	2004.173917	2005.423053
100/100	2011-04-10	2011.272047	2010.439598	2011.570654
SIM_ZAF_025_2011.69	2011-09-09	2011.690000	2011.690000	2011.690000
96.6/100	2013-01-08	2013.020571	2011.764712	2013.488960
SIM_ZAF_026_2015.08	2015-01-30	2015.080000	2015.080000	2015.080000
82.7/91	2013-05-17	2013.373183	2012.185401	2013.973411
SIM_ZAF_027_2017.34	2017-05-05	2017.340000	2017.340000	2017.340000
SIM_ZAF_028_2017.13	2017-02-17	2017.130000	2017.130000	2017.130000
75.3/82	2005-02-03	2005.090764	2004.649303	2005.741529
96.9/99	2007-05-29	2007.405643	2006.123193	2009.613260
SIM_ZMB_014_2022.97	2022-12-21	2022.970000	2022.970000	2022.970000
99.6/100	2010-03-07	2010.178693	2009.490129	2011.380776
SIM_BWA_013_2016.06	2016-01-22	2016.060000	2016.060000	2016.060000
91.3/98	2011-08-08	2011.600000	2011.154133	2011.600000
SIM_ZMB_006_2011.60	2011-08-08	2011.600000	2011.600000	2011.600000
100/100	2013-08-18	2013.628999	2013.170536	2013.660000
SIM_ZAF_012_2013.66	2013-08-29	2013.660000	2013.660000	2013.660000
85.6/97	2014-04-12	2014.277198	2013.586532	2014.754674
SIM_ZAF_011_2016.97	2016-12-21	2016.970000	2016.970000	2016.970000
75.8/93	2014-11-21	2014.888443	2014.389359	2015.453310
SIM_ZAF_007_2020.31	2020-04-23	2020.310000	2020.310000	2020.310000
SIM_ZAF_010_2016.08	2016-01-30	2016.080000	2016.080000	2016.080000
87/94	2015-12-30	2015.997240	2015.318941	2016.807829
SIM_ZAF_008_2018.76	2018-10-05	2018.760000	2018.760000	2018.760000
SIM_ZAF_009_2017.83	2017-10-30	2017.830000	2017.830000	2017.830000
93.8/99	2006-01-17	2006.046515	2005.592351	2006.146257
SIM_ZAF_024_2006.16	2006-02-28	2006.160000	2006.160000	2006.160000
99.6/100	2008-09-02	2008.672116	2007.529271	2009.445854
SIM_ZAF_019_2013.80	2013-10-20	2013.800000	2013.800000	2013.800000
100/100	2014-11-21	2014.890206	2013.023520	2015.460454
SIM_ZAF_018_2018.06	2018-01-22	2018.060000	2018.060000	2018.060000
99.9/100	2017-11-04	2017.841211	2016.781609	2019.500687
SIM_ZMB_017_2020.39	2020-05-22	2020.390000	2020.390000	2020.390000
99.7/100	2021-10-12	2021.778526	2020.760227	2022.656557
SIM_ZMB_015_2024.83	2024-10-30	2024.830000	2024.830000	2024.830000
SIM_ZMB_016_2025.00	2025-01-01	2025.000000	2025.000000	2025.000000
98.5/100	2009-11-10	2009.859823	2009.432636	2010.113291
SIM_BWA_020_2010.15	2010-02-24	2010.150000	2010.150000	2010.150000
79.9/94	2010-02-08	2010.106127	2009.770202	2010.173202
SIM_BWA_021_2010.18	2010-03-07	2010.180000	2010.180000	2010.180000
94.3/98	2011-04-11	2011.274961	2010.528462	2011.654025
SIM_BWA_022_2012.21	2012-03-17	2012.210000	2012.210000	2012.210000
SIM_BWA_023_2013.00	2013-01-01	2013.000000	2013.000000	2013.000000
100/100	1998-08-10	1998.605769	1997.027233	2000.692753
100/100	2004-07-19	2004.548328	2003.207898	2004.953755
95/99	2005-09-07	2005.683637	2004.879801	2006.197439
SIM_BWA_042_2006.69	2006-09-09	2006.690000	2006.690000	2006.690000
SIM_BWA_043_2009.21	2009-03-18	2009.210000	2009.210000	2009.210000
85.3/94	2005-01-14	2005.036589	2004.166724	2005.570170
87/96	2005-08-03	2005.587117	2005.009686	2006.117788
SIM_ZMB_040_2007.69	2007-09-09	2007.690000	2007.690000	2007.690000
SIM_ZMB_041_2006.40	2006-05-27	2006.400000	2006.400000	2006.400000
99.9/100	2009-03-31	2009.244120	2008.496083	2010.266349
SIM_ZMB_039_2011.06	2011-01-22	2011.060000	2011.060000	2011.060000
100/100	2014-11-21	2014.887985	2013.558231	2015.496258
