region,type,aa_start,aa_end,n_codons,sites,pi,minor_1pct,real_1pct,minor_5pct,per_kb
C1,conserved,1,130,130,381,0.011300184642963973,36,4,1,94.5
V1,variable,131,157,27,75,0.010457080462104579,4,1,0,53.3
V2,variable,158,196,39,117,0.010627012807359084,9,5,1,76.9
C2,conserved,197,295,99,297,0.00742296078560771,16,8,0,53.9
V3,variable,296,331,36,102,0.007434831686914182,4,3,1,39.2
C3,conserved,332,384,53,156,0.008821812790072983,11,7,0,70.5
V4,variable,385,418,34,90,0.008580242436152057,8,7,0,88.9
C4,conserved,419,459,41,123,0.007314254387347239,7,4,0,56.9
V5,variable,460,469,10,30,0.006010274250516631,1,0,0,33.3
C5,conserved,470,511,42,126,0.009951475794826565,7,2,1,55.6
gp41,conserved,512,856,345,1035,0.00857697393874662,67,27,3,64.7
