tip,sampling_date,root_to_tip_years
A-Indiana-09-2009|2009.307,2009.307,0.21412
A-Netherlands-602-2009|2009.326,2009.326,0.23312
A-California-06-2009|2009.290,2009.29,0.19712000000000002
A-Mexico-47N-2009|2009.315,2009.315,0.22211999999999998
A-New-York-1682-2009|2009.321,2009.321,0.22812
A-New-York-3099-2009|2009.326,2009.326,0.23312
A-Mexico-4486-2009|2009.285,2009.285,0.19213
A-Hong-Kong-01-2009|2009.329,2009.329,0.23612999999999998
A-Canada-NS-RV1535-2009|2009.312,2009.312,0.21911999999999998
A-Guangdong-1-2009|2009.378,2009.378,0.28512
A-Mexico-InDRE4487-2009|2009.285,2009.285,0.19211999999999999
A-Texas-15-2009|2009.288,2009.288,0.19512
A-Texas-04-2009|2009.285,2009.285,0.19211999999999999
A-Texas-09-2009|2009.315,2009.315,0.22211999999999998
A-Paris-2590-2009|2009.329,2009.329,0.23612
A-Narita-1-2009|2009.351,2009.351,0.25812
A-Beijing-01-2009|2009.370,2009.37,0.27712
A-Sichuan-1-2009|2009.356,2009.356,0.26313
A-Paris-2580-2009|2009.329,2009.329,0.23612999999999998
A-Norway-1168-2009|2009.348,2009.348,0.25512999999999997
A-Korea-01-2009|2009.334,2009.334,0.24112
A-Osaka-1-2009|2009.373,2009.373,0.28013
A-Osaka-C-1-2009|2009.373,2009.373,0.28013
A-Hyogo-1-2009|2009.375,2009.375,0.28213
A-Mexico-4604-2009|2009.299,2009.299,0.20613
A-Nonthaburi-102-2009|2009.348,2009.348,0.25512999999999997
A-Shandong-1-2009|2009.356,2009.356,0.26313
A-Beijing-3-2009|2009.384,2009.384,0.29113
A-Michigan-02-2009|2009.318,2009.318,0.22513
A-Shanghai-1-2009|2009.392,2009.392,0.29913
A-Canada-ON-RV1527-2009|2009.312,2009.312,0.21913000000000002
A-New-York-3193-2009|2009.323,2009.323,0.23013
A-New-York-3172-2009|2009.321,2009.321,0.22813000000000003
A-Moscow-01-2009|2009.386,2009.386,0.29313
A-New-York-23-2009|2009.312,2009.312,0.21913000000000002
A-New-York-3191-2009|2009.315,2009.315,0.22213000000000002
A-New-York-3214-2009|2009.315,2009.315,0.22213000000000002
A-England-207-2009|2009.329,2009.329,0.23613
A-New-York-3190-2009|2009.326,2009.326,0.23313
A-New-York-10-2009|2009.315,2009.315,0.22213000000000002
A-New-York-3187-2009|2009.332,2009.332,0.23913
A-Zhejiang-1-2009|2009.392,2009.392,0.29913
A-New-York-3168-2009|2009.318,2009.318,0.22513000000000002
A-Fujian-1-2009|2009.389,2009.389,0.29613
A-New-York-3261-2009|2009.326,2009.326,0.23313000000000003
A-New-York-3232-2009|2009.329,2009.329,0.23612000000000002
A-Guangdong-2-2009|2009.403,2009.403,0.31013
A-California-14-2009|2009.315,2009.315,0.22213000000000002
A-New-York-3173-2009|2009.323,2009.323,0.23013000000000003
A-New-York-3260-2009|2009.321,2009.321,0.22813000000000003
